I1,I2,I3,R1,R2,R3
538,618,714,544,668,231
73,71,96,65,65,23
285,304,330,283,464,135
66,76,65,75,94,17
84,124,126,155,143,54
1439,1608,1782,1371,1661,586
0,4,2,1,1,1
1432,1517,1766,1271,1559,614
33,45,57,34,78,15
432,514,567,568,717,248
72,29,81,90,146,3
27,32,33,37,56,14
18,5,4,9,7,2
4,5,2,2,2,1
3,7,5,7,2,2
3356,3508,3935,3213,4016,1311
4,3,4,4,0,0
79,124,172,136,171,40
73,87,88,54,99,26
101,102,148,130,168,33
413,786,623,580,927,172
16,17,28,14,24,7
4,6,6,3,5,4
67,73,89,87,133,35
0,0,0,0,0,0
1760,965,736,1251,682,632
6,5,4,4,10,0
1,0,2,2,1,0
120,153,192,72,114,36
17,15,22,31,23,7
453,463,533,373,561,142
73,67,58,47,60,16
42,38,34,28,43,11
0,0,0,0,0,0
51,45,56,38,65,14
4,9,5,13,15,2
143,210,248,147,254,69
690,695,758,704,803,283
833,1021,1552,891,1579,461
2749,3273,2911,2319,2626,1014
2,5,11,6,16,4
5,1,10,6,4,1
265,331,295,254,342,78
40,39,42,31,35,12
192,233,220,229,322,84
10,18,7,5,4,3
2,3,4,4,10,3
2,4,4,1,6,1
705,912,754,915,1321,354
0,0,3,2,2,0
1663,1876,1904,1316,1824,609
0,0,1,0,0,0
19,16,33,28,42,24
1413,1765,2031,975,1531,418
106,144,176,103,174,76
5,8,6,10,23,2
40,32,47,30,60,13
62,87,83,71,101,28
9,3,17,13,12,1
17,9,6,11,11,2
13,12,7,10,15,5
702,869,926,807,1116,343
0,3,2,3,6,1
261,309,357,291,431,138
1,0,2,3,1,1
52,74,61,74,118,31
5,12,10,19,15,6
14,14,10,14,16,3
95,88,90,98,127,37
64,82,70,88,110,42
47,72,59,60,75,25
13,10,6,9,15,2
5,15,12,8,11,8
1099,1262,1363,1181,1442,496
1782,2017,2152,1853,2321,734
9,18,30,4,3,0
11,14,17,16,12,5
44,52,58,55,69,31
715,734,828,663,800,281
54,80,100,104,132,46
12,10,24,12,26,9
55,71,52,72,73,22
51,54,34,32,27,13
93,85,145,3,21,1
75,90,126,96,127,53
5,9,8,5,15,2
121,131,128,123,188,38
147,150,188,114,187,52
2,2,3,2,3,0
0,3,3,2,4,0
537,471,571,781,983,256
0,0,0,0,0,0
695,869,980,621,901,303
28,64,53,32,41,9
41,58,80,22,42,9
26,27,25,36,31,18
403,468,644,531,747,148
208,277,316,278,340,106
764,816,864,782,923,322
14008,14348,16871,13224,17914,5395
18,27,27,22,25,8
245,229,262,235,322,89
26,17,29,21,34,16
44,42,39,49,42,18
45,71,50,87,139,28
85,97,92,77,100,25
93,80,78,74,92,31
17,31,34,24,32,12
1513,1621,1842,1554,1951,692
17,24,24,17,24,4
993,1455,2493,957,1039,416
25,39,37,33,40,11
377,406,485,13,28,3
3,2,0,2,0,2
37,29,28,32,39,10
3346,3654,3856,3536,4398,1423
1573,1544,964,1390,1575,547
16,9,22,13,15,9
80,82,102,76,111,35
63,88,69,62,69,27
0,6,8,8,7,4
1198,1252,1346,1047,1412,460
19,34,19,33,42,14
182,222,193,221,312,102
12,9,25,18,19,6
2169,2230,2505,1706,1989,757
11,18,12,43,69,19
75,85,97,291,357,130
10,4,7,4,2,4
837,761,908,766,940,271
17,22,18,25,33,5
256,303,293,303,373,131
941,998,1074,822,1131,369
203,168,169,296,391,133
1,3,3,3,2,1
1,0,0,1,1,0
4,4,5,5,3,2
54,39,64,40,34,26
0,1,0,0,0,0
0,0,1,0,0,0
9,11,21,7,13,4
33,28,43,23,33,11
8,3,2,5,5,2
18,26,28,12,25,6
682,745,790,744,923,339
60,65,62,104,118,40
11,12,18,20,19,3
0,0,0,1,0,0
41,35,57,22,69,14
0,0,0,0,2,0
345,347,302,330,387,159
25,26,40,36,65,9
73,78,65,95,114,38
0,4,2,4,6,6
3033,2959,2981,2583,2986,1227
3,2,1,2,2,0
82,101,89,92,130,33
3,3,1,7,2,1
35,28,42,35,64,20
11,24,16,12,23,8
262,388,390,275,473,131
216,268,294,222,366,74
0,1,1,0,1,2
390,394,467,353,512,170
452,521,653,112,234,50
145,186,217,161,254,67
10,14,22,8,27,3
15027,12284,7548,11771,8112,5202
1085,1255,1544,1053,1519,484
819,814,823,734,905,296
12,21,8,6,11,5
68,61,78,86,119,40
0,1,5,3,1,0
15,13,6,13,10,9
28,34,30,26,35,11
307,359,435,515,817,258
64,79,91,72,96,25
16,30,33,24,25,5
440,422,574,462,416,71
711,790,837,799,1141,356
0,0,0,0,0,0
25,31,30,24,41,9
35,47,50,47,56,28
13,9,11,27,26,8
13,32,41,26,34,8
41,42,52,53,80,19
6,9,12,7,9,2
24,18,21,21,20,8
28,54,49,25,37,16
1,0,2,4,3,2
327,362,412,297,396,156
203,237,292,207,371,97
25,19,24,45,60,15
0,0,0,0,0,0
63,36,71,91,133,31
0,4,3,1,3,0
43,44,58,79,99,18
39,48,42,56,62,18
111,138,138,133,187,37
168,180,139,208,281,82
5,2,5,3,5,1
377,384,399,433,511,174
5,6,2,3,1,0
37,54,86,43,62,15
5,3,7,3,8,6
6,17,29,24,35,22
0,0,0,0,0,0
8,20,16,11,22,9
203,250,231,239,337,97
876,1106,943,793,957,321
13,9,7,10,8,6
61,89,110,60,94,25
1,0,0,2,1,0
47,64,62,54,101,31
4,7,9,17,22,7
262,294,262,2685,2653,973
87,129,134,142,190,59
40,62,73,50,82,28
21,7,7,8,16,1
70,97,112,98,133,36
649,729,846,679,909,278
9309,9794,10518,7779,10759,3264
53,75,73,57,79,24
2,2,1,1,3,0
1,0,2,2,3,0
0,0,0,0,0,0
269,292,287,308,443,127
2,4,0,2,2,0
2,5,6,7,6,2
755,889,986,757,919,281
7028,5213,1719,4618,3245,2735
19335,20614,20246,15342,17939,7512
1,4,4,1,1,0
88,66,93,38,80,19
0,0,0,0,1,0
246,176,107,170,177,82
2418,2488,2925,2345,3025,868
107,105,124,100,122,51
5349,6050,4937,6311,7931,2464
49,71,49,51,47,17
438,429,499,430,540,189
41,77,49,173,238,47
59,64,65,70,104,33
3255,3147,2040,2894,2392,1165
44,58,45,46,38,20
13,10,12,8,14,1
446,475,598,512,646,251
39,56,79,45,73,15
59,54,46,54,71,15
66,92,76,182,185,80
0,2,1,0,1,0
3,0,4,2,0,0
0,2,2,0,2,0
76,74,89,66,87,25
80,89,130,74,128,24
0,0,2,0,5,0
367,452,628,486,926,221
4,5,3,7,2,0
40,65,76,42,68,14
4,2,4,9,3,1
61,33,31,53,43,33
28,35,35,58,54,13
2041,2708,2081,2062,2092,1169
882,893,861,726,665,277
5,10,4,3,5,1
143,160,189,149,229,91
615,671,740,505,762,194
95,93,102,73,109,41
24,42,31,19,31,15
95,114,109,82,145,37
2,0,0,0,2,0
48,53,78,18,25,5
1078,1213,1170,1000,1312,450
58,55,89,75,111,41
5,12,12,9,16,6
2070,2417,2979,2113,2595,867
0,3,0,0,0,0
4498,4989,5239,4981,5793,2208
4,12,5,8,6,1
3,1,2,5,4,0
14,6,25,19,43,3
86,78,102,333,402,155
91,81,111,69,104,15
0,0,0,0,0,0
3,6,3,6,11,0
0,0,0,0,0,0
11,9,14,8,20,13
23,52,33,38,62,13
23,16,31,21,46,13
5,6,9,13,9,1
0,0,0,0,0,0
3220,3759,3948,3513,4389,1479
281,344,437,289,397,118
559,696,716,521,812,249
181,213,243,186,227,63
138,133,132,113,174,68
4,5,16,15,34,6
22,20,40,1,10,1
289,332,308,191,271,98
114,185,180,182,216,63
257,267,306,327,375,115
53,68,82,75,98,33
143,150,142,118,176,51
449,516,528,508,576,152
7,15,11,39,30,12
9,11,16,17,22,2
38,43,43,54,36,10
3,3,3,8,2,1
1028,1106,1153,944,1176,383
12,23,21,16,34,6
226,281,334,471,565,211
22,17,31,6,6,1
244,275,282,216,267,93
5,5,2,0,8,0
0,1,0,1,0,2
4,6,2,0,4,0
0,0,5,2,1,0
318,398,397,306,478,112
128,132,161,126,216,63
344,344,352,401,454,122
5,4,4,4,7,0
4,2,4,3,7,0
44,49,63,67,116,32
113,101,86,100,110,40
841,1003,1063,883,1166,422
1184,782,657,929,723,497
31,48,47,120,116,34
3,7,9,17,14,7
22,28,22,24,22,8
415,485,542,459,574,218
15,30,31,24,39,6
0,2,0,1,0,0
136,144,142,185,193,77
24,30,29,25,38,8
28,35,40,94,126,36
69,79,84,90,99,27
44,53,32,52,75,19
68,70,71,77,110,32
2080,2275,2442,2023,2593,844
1252,1440,1552,1780,2089,727
10,10,26,17,21,8
58,54,59,37,58,17
0,0,0,0,0,0
29,37,31,23,37,12
4,3,3,5,4,1
80,88,96,84,124,35
26,37,52,47,37,11
30,41,50,65,87,22
229,214,245,204,269,86
675,731,790,205,310,78
3,2,2,1,1,1
8,9,12,12,16,4
25,16,44,34,39,10
266,264,355,473,585,104
290,325,307,281,388,107
20,31,18,26,26,6
11,6,5,3,16,4
218,283,290,365,496,130
54,53,76,55,72,28
188,266,289,230,317,81
27,34,38,33,61,19
530,577,606,453,661,179
18,13,22,31,53,12
0,0,0,0,1,0
8,6,7,10,9,11
812,1045,1232,363,662,131
3311,3493,3666,3068,3696,1164
226,163,173,184,246,99
3936,4354,4424,4161,5324,1710
609,658,622,611,748,220
11,10,15,9,21,3
1,0,0,2,0,0
4,19,16,21,29,11
373,350,285,323,292,124
3,2,1,0,0,1
302,432,459,471,698,179
14774,15883,14940,10901,13958,4797
9,9,10,8,13,3
0,0,0,0,0,0
22,29,40,19,47,16
12,19,17,12,29,9
329,417,402,319,459,105
3,10,5,13,29,7
66,94,121,39,56,19
0,0,0,0,0,0
0,0,0,0,0,0
9,17,12,8,11,4
671,691,875,594,770,248
49,56,84,88,162,27
2,3,5,4,2,0
3,2,5,4,8,4
69,82,91,61,103,24
3772,3890,4261,3484,4307,1438
140,160,151,147,167,35
3,1,6,2,3,0
9,9,22,35,36,24
37,78,62,74,121,35
0,0,0,0,0,0
846,820,899,714,847,311
96,105,99,113,144,37
5580,6915,7117,5040,7067,2300
68,89,73,52,107,5
993,1094,1402,874,1161,407
16,20,26,23,28,6
2212,3083,3443,2195,3073,838
119,217,183,1073,1202,452
0,0,0,0,1,0
1,3,5,1,7,1
196,213,234,181,224,60
3,3,3,6,9,0
44,42,47,41,54,19
1160,1188,1000,505,594,217
21,33,23,39,61,17
19,12,17,24,22,9
6989,8285,8293,6268,8334,2703
0,0,0,0,0,0
8,7,6,7,7,3
67,89,88,135,187,46
115,112,155,97,169,48
43,44,44,42,41,16
504,583,618,659,950,339
19,14,29,18,15,4
12,12,11,10,17,5
5,4,3,6,3,2
20990,25111,22979,19335,26684,7518
0,0,0,0,0,0
92,113,126,88,125,32
0,0,0,0,0,0
55,57,85,50,92,18
0,0,0,0,0,0
20,21,18,14,16,6
27,42,43,34,78,20
25,39,38,46,50,9
0,0,0,0,0,0
1853,1220,4590,1435,1388,786
43,54,65,45,79,38
6272,6713,7033,6551,8330,2649
276,274,293,199,255,95
38,35,48,26,20,10
0,0,0,0,0,0
101,116,132,122,130,42
132,138,84,122,97,48
109,111,169,144,239,71
32,48,54,50,79,19
1179,1500,1498,1359,1843,654
64,79,100,75,110,24
76,85,68,66,81,25
5742,6039,6408,5230,6882,2330
20,9,17,17,26,5
778,757,834,643,827,247
12,17,21,24,36,5
14,15,14,17,21,6
38,41,28,36,19,11
4,0,4,1,2,0
105,137,160,141,168,49
12,19,14,18,45,10
123,161,190,233,332,91
5,3,8,6,3,2
1,2,1,0,0,1
11,12,7,5,7,1
344,342,337,363,406,147
970,1030,1066,918,1067,419
20,23,27,29,34,8
252,254,236,192,210,124
28,32,24,9,12,1
374,445,520,342,518,153
2,1,1,1,1,1
848,1014,1142,890,1183,396
1731,1694,2199,1635,2141,637
70,54,87,47,108,28
11,7,7,12,30,8
1,2,6,5,4,1
48,38,59,108,90,47
41,36,64,48,70,10
1,1,4,6,4,1
5,12,14,5,25,4
858,841,994,742,993,296
0,0,1,0,0,0
1428,1379,1651,1264,1479,521
0,1,0,0,2,0
47,43,36,39,44,15
1279,1177,1337,1121,1438,484
5,4,6,8,6,4
0,0,0,0,0,0
2,1,10,1,12,1
848,901,959,796,989,377
94,95,110,124,99,43
7,14,13,28,22,22
255,323,339,412,524,117
25,28,29,44,52,17
0,2,1,3,0,0
219,327,466,200,549,100
